ID_Recepcion;ID_Rollo;Fecha_Recepción;Fecha_ISO;Mes;Tipo_de_tela;Color;Modalidad_Venta;Peso_etiqueta;Metros_etiquetas;Metros_taller;Peso_Plegadora;Rendimiento_teorico_proveedor;Rendimiento_Taller;Delta_Rend_mkg;Pct_Delta_Rend;Delta_Metros;Delta_Kg;Estatus;Tipo_Defecto;Frecuencia;Tiene_Defecto;N_Tipos_Defecto;Severidad;Severidad_label;Flag_Idos;Flag_Manchas;Flag_Huecos;Flag_Marcas_Agua;Flag_Sucio;Flag_Empates;Metros_No_Aprov;Metros_Aprov;Obs_N_Posiciones
001;1;2025-06-17;2025-06-17;2025-06;Tulum;Rojo;Por Kg;8.0;0.0;21.51;8.25;2.69;2.61;-0.08;-2.97;;0.25;Aprobado;Ninguno;Ninguno;0;0;0;Sin defecto;0;0;0;0;0;0;0.0;21.51;0
002;2;2025-06-17;2025-06-17;2025-06;Tulum;Rojo;Por Kg;7.75;0.0;21.65;8.1;2.79;2.67;-0.12;-4.3;;0.35;Aprobado;Ninguno;Ninguno;0;0;0;Sin defecto;0;0;0;0;0;0;0.0;21.65;0
003;3;2025-06-17;2025-06-17;2025-06;Tulum;Rojo;Por Kg;19.25;0.0;51.31;19.9;2.67;2.58;-0.09;-3.37;;0.65;Aprobado;Ninguno;Ninguno;0;0;0;Sin defecto;0;0;0;0;0;0;0.0;51.31;0
004;1;2025-06-17;2025-06-17;2025-06;Tulum;Verde Lago;Por Kg;8.8;0.0;25.44;8.95;2.89;2.84;-0.05;-1.73;;0.15;Aprobado;Ninguno;Ninguno;0;0;0;Sin defecto;0;0;0;0;0;0;0.0;25.44;0
005;2;2025-06-17;2025-06-17;2025-06;Tulum;Verde Lago;Por Kg;18.45;0.0;55.88;19.2;3.03;2.91;-0.12;-3.96;;0.75;Aprobado;Ninguno;Ninguno;0;0;0;Sin defecto;0;0;0;0;0;0;0.0;55.88;0
006;3;2025-06-17;2025-06-17;2025-06;Tulum;Verde Lago;Por Kg;7.75;0.0;22.3;7.8;2.88;2.86;-0.02;-0.69;;0.05;Aprobado;Ninguno;Ninguno;0;0;0;Sin defecto;0;0;0;0;0;0;0.0;22.3;0
007;1;2025-06-17;2025-06-17;2025-06;Tulum;Azul Marino;Por Kg;11.95;0.0;31.9;12.2;2.67;2.61;-0.06;-2.25;;0.25;Aprobado;Ninguno;Ninguno;0;0;0;Sin defecto;0;0;0;0;0;0;0.0;31.9;0
008;2;2025-06-17;2025-06-17;2025-06;Tulum;Azul Marino;Por Kg;18.95;0.0;51.68;23.95;2.73;2.16;-0.57;-20.88;;5.0;Aprobado;Ninguno;Ninguno;0;0;0;Sin defecto;0;0;0;0;0;0;0.0;51.68;0
009;3;2025-06-17;2025-06-17;2025-06;Tulum;Azul Marino;Por Kg;19.25;0.0;53.5;19.9;2.78;2.69;-0.09;-3.24;;0.65;Aprobado;Ninguno;Ninguno;0;0;0;Sin defecto;0;0;0;0;0;0;0.0;53.5;0
010;4;2025-06-17;2025-06-17;2025-06;Tulum;Azul Marino;Por Kg;19.65;0.0;52.34;19.95;2.66;2.62;-0.04;-1.5;;0.3;Aprobado;Ninguno;Ninguno;0;0;0;Sin defecto;0;0;0;0;0;0;0.0;52.34;0
011;1;2025-06-17;2025-06-17;2025-06;Tulum;Gris;Por Kg;13.65;0.0;0.0;14.15;0.0;0.0;0.0;;;0.5;Aprobado;Ninguno;Ninguno;0;0;0;Sin defecto;0;0;0;0;0;0;0.0;0.0;0
012;2;2025-06-17;2025-06-17;2025-06;Tulum;Gris;Por Kg;19.15;0.0;53.53;18.95;2.8;2.82;0.02;0.71;;-0.2;Aprobado;Ninguno;Ninguno;0;0;0;Sin defecto;0;0;0;0;0;0;0.0;53.53;0
013;3;2025-06-17;2025-06-17;2025-06;Tulum;Gris;Por Kg;19.15;0.0;51.93;18.95;2.71;2.74;0.03;1.11;;-0.2;Aprobado;Ninguno;Ninguno;0;0;0;Sin defecto;0;0;0;0;0;0;0.0;51.93;0
014;4;2025-06-17;2025-06-17;2025-06;Tulum;Gris;Por Kg;18.25;0.0;50.51;18.1;2.77;2.79;0.02;0.72;;-0.15;Aprobado;Ninguno;Ninguno;0;0;0;Sin defecto;0;0;0;0;0;0;0.0;50.51;0
015;1;2025-06-17;2025-06-17;2025-06;Corriente;Marrón;Por Metro;0.0;61.0;60.83;23.9;2.55;2.55;;;-0.17;;Aprobado;Ninguno;Ninguno;0;0;0;Sin defecto;0;0;0;0;0;0;0.0;60.83;0
